Code,Name,Total Properties (2 bedroom),Median Value,Total Sales in 2017 (2 bedroom),Median Sales Price,*less than 50 properties used for estimate/calculation so treat with caution
1,Far North District,3289,378500,127,305000,
2,Whangarei District,4820,361000,218,342250,
3,Kaipara District,1115,408000,44,288500,
4,Auckland - Rodney,4238,675000,208,622500,
5,Auckland - North Shore,9223,760000,379,711000,
6,Auckland - Waitakere,8143,630000,325,593000,
7,Auckland - City,28903,792000,1032,745473,
8,Auckland - Manukau,12417,580000,448,567500,
9,Auckland - Papakura,2130,504000,99,504000,
10,Auckland - Franklin,1551,468000,77,494000,
11,Thames Coromandel District,4674,486000,221,438000,
12,Hauraki District,1209,332000,50,290552.5,
13,Waikato District,2129,435000,89,336000,
15,Matamata Piako District,1267,351500,91,315000,
16,Hamilton City,7325,387000,416,383000,
17,Waipa District,1710,404000,126,378500,
18,Otorohanga District,359,240000,20,243000,
19,South Waikato District,992,259000,63,128000,
20,Waitomo District,382,186000,23,138000,
21,Taupo District,2640,350000,159,250000,
22,Western Bay of Plenty District,1668,450000,100,387500,
23,Tauranga City,6468,455000,330,448375,
24,Rotorua District,3140,335000,157,265000,
25,Whakatane District,1647,339000,78,314000,
26,Kawerau District,245,265500,24,140500,
27,Opotiki District,590,347000,28,173000,
28,Gisborne District,2172,231000,114,202500,
29,Wairoa District,603,357000,10,93500,
30,Hastings District,3771,320000,255,280000,
31,Napier City,3251,346000,201,331000,
32,Central Hawkes Bay District,567,273000,41,182500,
33,New Plymouth District,4257,325000,256,315500,
34,Stratford District,422,258000,33,184000,
35,South Taranaki District,1156,217000,81,160000,
36,Ruapehu District,912,233000,59,160000,
37,Whanganui District,3127,186000,224,151500,
38,Rangitikei District,677,246500,40,140500,
39,Manawatu District,1194,263000,89,224000,
40,Palmerston North City,4298,255000,250,257065.5,
41,Tararua District,792,148000,58,129000,
42,Horowhenua District,3024,249000,229,220000,
43,Kapiti Coast District,4075,430000,230,389000,
44,Porirua City,1657,398000,66,374000,
45,Upper Hutt City,2566,323000,160,314150,
46,Hutt City,7001,378000,358,376750,
47,Wellington City,9567,544000,448,510000,
48,Masterton District,1475,251000,100,239000,
49,Carterton District,407,343000,39,271000,
50,South Wairarapa District,593,364000,52,333000,
51,Tasman District,1980,422000,115,395000,
52,Nelson City,3384,380000,191,375700,
53,Marlborough District,3290,315000,218,291250,
54,Kaikoura District,272,344000,14,325500,
55,Buller District,791,167500,37,148000,
56,Grey District,1120,228000,38,165000,
57,Westland District,686,212000,17,232000,
58,Hurunui District,744,321000,39,320000,
59,Waimakariri District,2207,327000,154,316500,
60,Christchurch City,23714,350000,1436,343000,
62,Selwyn District,961,355500,93,356000,
63,Ashburton District,1938,276000,96,263500,
64,Timaru District,3418,283000,217,265000,
65,MacKenzie District,438,325000,12,322500,
66,Waimate District,450,241000,38,169500,
68,Waitaki District,1607,256000,125,225000,
69,Central Otago District,1343,345500,92,319500,
70,Queenstown Lakes District,1848,651000,93,619000,
71,Dunedin City,8616,291000,463,260000,
72,Clutha District,1026,189000,56,164500,
73,Southland District,1266,213000,74,184000,
74,Gore District,594,212000,47,181000,
75,Invercargill City,3211,219000,209,181500,
76,Auckland,66605,695000,2568,652750,